dataproduct_type,dataproduct_subtype,facility_name,calib_level,target_name,obs_id,obs_collection,obs_publisher_did,access_url,access_format,s_resolution,s_xel1,s_xel2,t_xel,t_min,t_max,t_exptime,t_resolution,em_xel,em_min,em_max,em_res_power,em_filter_name,o_ucd,pol_xel,instrument_name,lsst_visit,lsst_detector,lsst_tract,lsst_patch,lsst_band,lsst_filter,obs_title,s_ra,s_dec,s_fov,s_region
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-40,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-34f1-75ef-b051-ef0ea2cc1d9c,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-34f1-75ef-b051-ef0ea2cc1d9c,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,40,i,,deep_coadd - i - tract=4848 patch=40,53.00770989384058,-29.088839066329818,0.25924239750160805,POLYGON ICRS 52.903503 -29.181124 53.113442 -29.179784 53.111733 -28.996477 52.902165 -28.997807
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-41,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-bb8d-7781-8951-5c96e58d09f1,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-bb8d-7781-8951-5c96e58d09f1,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,41,i,,deep_coadd - i - tract=4848 patch=41,52.81701650903898,-29.089917767910197,0.25925460635217673,POLYGON ICRS 52.712630 -29.182058 52.922589 -29.181016 52.921218 -28.997700 52.711631 -28.998734
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-42,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-884f-7242-8997-c8f0709d47ba,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-884f-7242-8997-c8f0709d47ba,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,42,i,,deep_coadd - i - tract=4848 patch=42,52.626308335024845,-29.090726862148607,0.25926352627146704,POLYGON ICRS 52.521746 -29.182721 52.731718 -29.181977 52.730685 -28.998654 52.521085 -28.999393
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-43,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-7400-7531-87e9-5daee24da080,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-7400-7531-87e9-5daee24da080,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,43,i,,deep_coadd - i - tract=4848 patch=43,52.43558959608884,-29.09126628107817,0.25926915637045905,POLYGON ICRS 52.330853 -29.183114 52.540835 -29.182667 52.540141 -28.999339 52.330531 -28.999782
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-50,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-ddf6-73d2-9786-cf6e3ee9b2ad,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-ddf6-73d2-9786-cf6e3ee9b2ad,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,50,i,,deep_coadd - i - tract=4848 patch=50,53.00632700819476,-28.922191750406892,0.2592423984616097,POLYGON ICRS 52.902286 -29.014473 53.111888 -29.013142 53.110184 -28.829835 52.900953 -28.831156
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-51,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-48df-7e52-bfac-6893fc58b8b4,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-48df-7e52-bfac-6893fc58b8b4,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,51,i,,deep_coadd - i - tract=4848 patch=51,52.81594084752504,-28.923263078904178,0.25925460695248903,POLYGON ICRS 52.711722 -29.015400 52.921342 -29.014365 52.919975 -28.831049 52.710726 -28.832076
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-52,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-346c-7d95-b659-06dc7b23e384,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-346c-7d95-b659-06dc7b23e384,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,52,i,,deep_coadd - i - tract=4848 patch=52,52.62553996901428,-28.924066642753,0.25926352650394213,POLYGON ICRS 52.521145 -29.016059 52.730779 -29.015319 52.729750 -28.831996 52.520487 -28.832730
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-53,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-07db-7894-8384-c857bccd1fb9,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-07db-7894-8384-c857bccd1fb9,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,53,i,,deep_coadd - i - tract=4848 patch=53,52.43512857657034,-28.924602374562944,0.2592691562337414,POLYGON ICRS 52.330560 -29.016449 52.540204 -29.016005 52.539512 -28.832677 52.330240 -28.833117
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-54,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8c0-09b8-7248-b19b-f48cad80189a,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8c0-09b8-7248-b19b-f48cad80189a,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,54,i,,deep_coadd - i - tract=4848 patch=54,52.24471087549446,-28.92487022937774,0.259271495809806,POLYGON ICRS 52.139971 -29.016570 52.349619 -29.016422 52.349265 -28.833090 52.139988 -28.833237
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-60,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-71c9-7608-8503-328184cf347a,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-71c9-7608-8503-328184cf347a,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,60,i,,deep_coadd - i - tract=4848 patch=60,53.00494857192881,-28.755545830685545,0.25924364084604745,POLYGON ICRS 52.901074 -28.847821 53.110338 -28.846499 53.108639 -28.663195 52.899745 -28.664507
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-61,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-456f-7c78-b213-e2e34f73db0e,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-456f-7c78-b213-e2e34f73db0e,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,61,i,,deep_coadd - i - tract=4848 patch=61,52.81486864720271,-28.75660979181592,0.2592547525521488,POLYGON ICRS 52.710817 -28.848742 52.920099 -28.847714 52.918737 -28.664401 52.709824 -28.665421
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-62,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-30fa-7464-97ba-c34e59f66178,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-30fa-7464-97ba-c34e59f66178,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,62,i,,deep_coadd - i - tract=4848 patch=62,52.62477407556855,-28.757407829579936,0.25926257521903706,POLYGON ICRS 52.520547 -28.849396 52.729843 -28.848662 52.728817 -28.665341 52.519891 -28.666070
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-63,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-b0b4-7eef-85b3-2a1bafb77c15,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-b0b4-7eef-85b3-2a1bafb77c15,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,63,i,,deep_coadd - i - tract=4848 patch=63,52.43466904066186,-28.757939877123654,0.25926710826881155,POLYGON ICRS 52.330269 -28.849783 52.539574 -28.849343 52.538885 -28.666017 52.329949 -28.666455
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-64,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-9c74-7d81-83cf-13f393c50128,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-9c74-7d81-83cf-13f393c50128,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,64,i,,deep_coadd - i - tract=4848 patch=64,52.244557727525475,-28.758205889872528,0.2592691550400382,POLYGON ICRS 52.139987 -28.849903 52.349297 -28.849757 52.348944 -28.666428 52.140004 -28.666574
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-65,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-700c-7f90-b357-aa62963fe4e1,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-700c-7f90-b357-aa62963fe4e1,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,65,i,,deep_coadd - i - tract=4848 patch=65,52.05444432201434,-28.758205845527662,0.259269154905432,POLYGON ICRS 51.949705 -28.849756 52.159015 -28.849903 52.158998 -28.666574 51.950058 -28.666428
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-70,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-0598-7afd-9bb0-6b7a028b6659,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-0598-7afd-9bb0-6b7a028b6659,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,70,i,,deep_coadd - i - tract=4848 patch=70,53.003574563594455,-28.58890412681303,0.2592415933008557,POLYGON ICRS 52.899866 -28.681171 53.108794 -28.679859 53.107100 -28.496561 52.898541 -28.497864
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-71,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8c0-0787-75e5-a79d-0ba37142e7a3,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8c0-0787-75e5-a79d-0ba37142e7a3,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,71,i,,deep_coadd - i - tract=4848 patch=71,52.813799891409204,-28.58996072655219,0.2592516079696562,POLYGON ICRS 52.709914 -28.682086 52.918860 -28.681065 52.917502 -28.497758 52.708925 -28.498772
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-72,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-d9d6-7f04-ac90-4fe0e7dff796,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-d9d6-7f04-ac90-4fe0e7dff796,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,72,i,,deep_coadd - i - tract=4848 patch=72,52.624010642773264,-28.59075324271869,0.2592583338346942,POLYGON ICRS 52.519950 -28.682736 52.728910 -28.682007 52.727887 -28.498693 52.519296 -28.499416
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-73,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-c553-754e-ae14-37e0e1516bad,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-c553-754e-ae14-37e0e1516bad,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,73,i,,deep_coadd - i - tract=4848 patch=73,52.43421098120737,-28.59128160899333,0.2592625740222751,POLYGON ICRS 52.329978 -28.683121 52.538947 -28.682683 52.538260 -28.499364 52.329660 -28.499798
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-74,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-3072-75ca-8146-4db047f8c3db,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-3072-75ca-8146-4db047f8c3db,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,74,i,,deep_coadd - i - tract=4848 patch=74,52.24440507161807,-28.59154578116268,0.25926352385286683,POLYGON ICRS 52.140002 -28.683240 52.348976 -28.683094 52.348624 -28.499772 52.140019 -28.499916
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-75,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8be-fcd5-76dd-949b-d9a392aba50d,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8be-fcd5-76dd-949b-d9a392aba50d,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,75,i,,deep_coadd - i - tract=4848 patch=75,52.05459707972558,-28.591545737125514,0.25926352408247766,POLYGON ICRS 51.950026 -28.683094 52.159000 -28.683240 52.158983 -28.499916 51.950379 -28.499772
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-76,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8c0-05d4-7d26-9b2c-7aeda1e4c84f,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8c0-05d4-7d26-9b2c-7aeda1e4c84f,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,76,i,,deep_coadd - i - tract=4848 patch=76,51.86479117152787,-28.59128147688545,0.25926257316026013,POLYGON ICRS 51.760055 -28.682683 51.969024 -28.683120 51.969343 -28.499798 51.760743 -28.499364
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-80,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-1360-7ca8-9910-d6fc3c1ff40f,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-1360-7ca8-9910-d6fc3c1ff40f,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,80,i,,deep_coadd - i - tract=4848 patch=80,53.002204961897185,-28.4222694579919,0.25923625616693435,POLYGON ICRS 52.898662 -28.514528 53.107254 -28.513224 53.105566 -28.329936 52.897341 -28.331229
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-81,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8c0-0412-79aa-b962-b226c4909910,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8c0-0412-79aa-b962-b226c4909910,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,81,i,,deep_coadd - i - tract=4848 patch=81,52.81273456356304,-28.423318702586993,0.2592451738695692,POLYGON ICRS 52.709015 -28.515436 52.917625 -28.514422 52.916272 -28.331125 52.708029 -28.332131
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-82,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-6dde-7c9e-9626-993eddefb22b,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-6dde-7c9e-9626-993eddefb22b,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,82,i,,deep_coadd - i - tract=4848 patch=82,52.62324965878134,-28.424105701825468,0.25925160678204157,POLYGON ICRS 52.519356 -28.516081 52.727980 -28.515357 52.726961 -28.332052 52.518704 -28.332771
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-83,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-59a4-7b60-a02a-da451ea91e36,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-59a4-7b60-a02a-da451ea91e36,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,83,i,,deep_coadd - i - tract=4848 patch=83,52.43375439110293,-28.42463038995186,0.2592547498958673,POLYGON ICRS 52.329689 -28.516463 52.538322 -28.516029 52.537637 -28.332719 52.329371 -28.333150
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-84,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-260b-7ee9-8550-cd105d1df57f,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-260b-7ee9-8550-cd105d1df57f,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,84,i,,deep_coadd - i - tract=4848 patch=84,52.24425290541077,-28.42489272311201,0.2592546028214692,POLYGON ICRS 52.140018 -28.516582 52.348656 -28.516437 52.348305 -28.333124 52.140034 -28.333268
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-85,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-119e-7b2c-9011-3091b334bd9d,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-119e-7b2c-9011-3091b334bd9d,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,85,i,,deep_coadd - i - tract=4848 patch=85,52.05474934741617,-28.424892679378882,0.259254603427529,POLYGON ICRS 51.950347 -28.516437 52.158985 -28.516582 52.158968 -28.333268 51.950698 -28.333124
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-86,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-9877-7ecb-9753-ee4f845109d2,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-9877-7ecb-9753-ee4f845109d2,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,86,i,,deep_coadd - i - tract=4848 patch=86,51.865247863102304,-28.424630258762253,0.25925474940052345,POLYGON ICRS 51.760680 -28.516029 51.969314 -28.516463 51.969631 -28.333150 51.761366 -28.332719
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-90,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-c31c-731d-aebc-fd62d018d66e,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-c31c-731d-aebc-fd62d018d66e,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,90,i,,deep_coadd - i - tract=4848 patch=90,53.00083974567274,-28.2556446427115,0.2592276303746948,POLYGON ICRS 52.897461 -28.347892 53.105719 -28.346598 53.104037 -28.163322 52.896145 -28.164606
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-91,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-96c0-705f-aab7-cff5ba7371a6,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-96c0-705f-aab7-cff5ba7371a6,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,91,i,,deep_coadd - i - tract=4848 patch=91,52.81167264719715,-28.256686538658897,0.2592362549704981,POLYGON ICRS 52.708118 -28.348794 52.916395 -28.347788 52.915045 -28.164502 52.707135 -28.165501
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-92,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-7b76-71b3-afed-749fe0b356d6,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-7b76-71b3-afed-749fe0b356d6,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,92,i,,deep_coadd - i - tract=4848 patch=92,52.62249111184465,-28.257468025852837,0.2592415906451154,POLYGON ICRS 52.518763 -28.349435 52.727053 -28.348716 52.726037 -28.165424 52.518113 -28.166137
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-93,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8c0-0388-70a9-990e-292ceba084eb,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8c0-0388-70a9-990e-292ceba084eb,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,93,i,,deep_coadd - i - tract=4848 patch=93,52.43329926329011,-28.257989039080197,0.2592436367237339,POLYGON ICRS 52.329400 -28.349814 52.537699 -28.349383 52.537016 -28.166085 52.329083 -28.166513
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-94,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-d5bf-71c8-b8f4-d1f04fb56af8,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-d5bf-71c8-b8f4-d1f04fb56af8,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,94,i,,deep_coadd - i - tract=4848 patch=94,52.24410122654245,-28.25824953485335,0.2592423928789007,POLYGON ICRS 52.140033 -28.349932 52.348336 -28.349788 52.347987 -28.166488 52.140049 -28.166630
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-95,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-c160-7d6a-9539-91208cff7348,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-c160-7d6a-9539-91208cff7348,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,95,i,,deep_coadd - i - tract=4848 patch=95,52.05490112743708,-28.258249491428987,0.25924239384726216,POLYGON ICRS 51.950666 -28.349788 52.158970 -28.349932 52.158953 -28.166630 51.951016 -28.166487
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-4848-96,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-8e14-788c-a3e1-2e559bc39787,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-8e14-788c-a3e1-2e559bc39787,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,4848,96,i,,deep_coadd - i - tract=4848 patch=96,51.86570309206168,-28.257988908810233,0.25924363659382527,POLYGON ICRS 51.761303 -28.349383 51.969602 -28.349814 51.969919 -28.166513 51.761987 -28.166085
